class	subject	replicate	matches	total	clonotype_matches	total_clonotypes
VH1-18 QXXV	326797	5	39	1933529	12	607443
VH1-18 QXXV	326797	6	33	1814316	11	562464
VH1-18 QXXV	326797	7	18	1056568	8	298452
VH1-18 QXXV	326797	8	34	1204095	13	367752
VH1-18 QXXV	326797	9	75	1880775	23	546099
VH1-18 QXXV	326797	10	17	1677555	6	484194
VH1-18 QXXV	326797	11	26	2144884	13	652675
VH1-18 QXXV	326797	12	4	1563431	4	444393
VH1-18 QXXV	326797	13	7	1157048	4	332708
VH1-18 QXXV	326797	14	29	1593090	9	463905
VH1-18 QXXV	326797	15	72	1631241	17	470589
VH1-18 QXXV	326797	16	8	1414745	4	403856
VH1-18 QXXV	326797	17	34	1176847	10	363838
VH1-18 QXXV	326797	18	10	854007	5	239894
VH1-18 QXXV	326907	1	0	3954	0	3802
VH1-18 QXXV	326907	2	0	4897	0	4706
VH1-18 QXXV	326907	3	7	676675	5	191971
VH1-18 QXXV	326907	4	21	1249946	8	346872
VH1-18 QXXV	326907	5	110	1423635	22	366657
VH1-18 QXXV	326907	6	16	432670	4	122634
VH1-18 QXXV	326907	7	133	1870748	24	507970
VH1-18 QXXV	326907	8	17	859841	5	233349
VH1-18 QXXV	326907	9	8	1051558	4	251773
VH1-18 QXXV	326907	10	0	339949	0	75793
VH1-18 QXXV	326907	11	30	2147715	11	570735
VH1-18 QXXV	326907	12	4	174374	3	95779
VH1-18 QXXV	326907	13	19	1064789	11	476326
VH1-18 QXXV	326907	14	3	106684	2	53764
VH1-18 QXXV	326907	15	5	156359	3	93354
VH1-18 QXXV	326907	16	8	205623	6	105591
VH1-18 QXXV	326907	17	6	136661	4	78674
VH1-18 QXXV	326907	18	1	75248	1	51149
VH1-18 QXXV	327059	1	107	3269013	75	1839618
VH1-18 QXXV	327059	2	32	2586635	19	960568
VH1-18 QXXV	327059	3	45	1522624	15	548023
VH1-18 QXXV	327059	4	41	1065204	8	308241
VH1-18 QXXV	327059	5	67	1656622	23	560722
VH1-18 QXXV	327059	6	70	1404498	19	443548
VH1-18 QXXV	327059	7	58	2122450	40	1254803
VH1-18 QXXV	327059	8	35	1318218	15	575269
VH1-18 QXXV	327059	9	44	1057077	20	383028
VH1-18 QXXV	327059	10	20	536900	9	180129
VH1-18 QXXV	327059	11	71	1075430	25	369949
VH1-18 QXXV	327059	12	10	777956	5	274785
VH1-18 QXXV	327059	13	54	2359169	43	1270485
VH1-18 QXXV	327059	14	34	1204727	18	510616
VH1-18 QXXV	327059	15	30	777182	15	299851
VH1-18 QXXV	327059	16	11	446474	5	146960
VH1-18 QXXV	327059	17	15	578984	6	233342
VH1-18 QXXV	327059	18	9	442413	3	177580
VH1-18 QXXV	D103	1	34	613886	17	336832
VH1-18 QXXV	D103	2	32	361710	5	90996
VH1-18 QXXV	D103	3	14	633439	5	197431
VH1-18 QXXV	D103	4	25	744463	7	208495
VH1-18 QXXV	D103	5	28	402398	2	102109
VH1-18 QXXV	D103	6	13	449161	4	131743
VH1-18 QXXV	D103	7	19	635180	8	300604
VH1-18 QXXV	D103	8	1	392020	1	105360
VH1-18 QXXV	D103	9	56	751317	17	221821
VH1-18 QXXV	D103	10	9	769674	6	219705
VH1-18 QXXV	D103	11	20	403029	7	114973
VH1-18 QXXV	D103	12	18	596743	3	173524
VH1-18 QXXV	D103	13	106	1694830	32	603058
VH1-18 QXXV	D103	14	3	203606	3	52536
VH1-18 QXXV	D103	15	74	760884	19	209521
VH1-18 QXXV	D103	16	65	668166	14	179296
VH1-18 QXXV	D103	17	21	243718	3	64706
VH1-18 QXXV	D103	18	0	279020	0	76574
